iter	Logloss
0	0.6910987901
1	0.6895460909
2	0.6881779648
3	0.6866200348
4	0.6853045372
5	0.6833205089
6	0.6815790198
7	0.6799849011
8	0.6779438675
9	0.6763457456
10	0.6754638722
11	0.6736255596
12	0.6722659203
13	0.6708380669
14	0.6691186753
15	0.6681138777
16	0.6671921327
17	0.6666590161
18	0.6656904606
19	0.6647359963
20	0.6633763036
21	0.662088081
22	0.6603242809
23	0.6582510618
24	0.6567470946
25	0.6549809993
26	0.6544275466
27	0.6526434104
28	0.6508368563
29	0.6491987026
30	0.6478774938
31	0.6457277873
32	0.6440885127
33	0.6420559125
34	0.6400558716
35	0.6389781627
36	0.6371552223
37	0.6366531171
38	0.635263534
39	0.6337696548
40	0.6323175688
41	0.6315458095
42	0.6307694065
43	0.629611047
44	0.6286261585
45	0.6269450373
46	0.6249232724
47	0.6236355302
48	0.6225712187
49	0.6215079747
50	0.6202029387
51	0.618195692
52	0.6174673271
53	0.6160003493
54	0.614599931
55	0.6133221166
56	0.6126421101
57	0.6107486604
58	0.6095608909
59	0.6086443233
60	0.6078907651
61	0.607179694
62	0.6066470045
63	0.6055819457
64	0.6044285501
65	0.6029457197
66	0.6021111372
67	0.6015479168
68	0.600903672
69	0.5996675441
70	0.5991553508
71	0.5976666491
72	0.5971930998
73	0.5959774148
74	0.5942980017
75	0.5933995818
76	0.5928245654
77	0.5914902262
78	0.5906001329
79	0.5898852188
80	0.5885068446
81	0.587402181
82	0.586494367
83	0.5851144984
84	0.5839805849
85	0.5836135736
86	0.5828228659
87	0.5812233028
88	0.5802474882
89	0.5795829607
90	0.5782635133
91	0.5773751281
92	0.5757663844
93	0.5744912388
94	0.573634879
95	0.5723993382
96	0.5717303805
97	0.5702260931
98	0.569413021
99	0.5685472137
100	0.5678369966
101	0.5662886742
102	0.5648260198
103	0.5636758267
104	0.5629408433
105	0.5617081848
106	0.5604325588
107	0.559546789
108	0.5579164815
109	0.5566533989
110	0.5559745133
111	0.5552265062
112	0.5544620594
113	0.5536346826
114	0.5523645543
115	0.5518875357
116	0.5508975765
117	0.5501814881
118	0.5494468249
119	0.5484814719
120	0.5471860436
121	0.5459312875
122	0.5451872302
123	0.5445029003
124	0.543459779
125	0.5422159116
126	0.5415047337
127	0.5401058632
128	0.5393309548
129	0.5387218846
130	0.5378442279
131	0.5370448734
132	0.5349098452
133	0.5343240469
134	0.533718713
135	0.5328878668
136	0.5316319365
137	0.530891829
138	0.53038492
139	0.5294894358
140	0.5286450855
141	0.5277473062
142	0.5265852104
143	0.5255814269
144	0.5240117008
145	0.5234304394
146	0.5221558276
147	0.5208291745
148	0.520040762
149	0.5193708969
150	0.5184553968
151	0.5168244488
152	0.5160344884
153	0.5149059659
154	0.5139941487
155	0.5127264224
156	0.5118418269
157	0.5109703618
158	0.5103022581
159	0.5093473667
160	0.5085711239
161	0.5069166372
162	0.5060987079
163	0.5054130436
164	0.5039999752
165	0.5022627562
166	0.5004273259
167	0.4991166321
168	0.4987362768
169	0.4976041782
170	0.496720063
171	0.4961967142
172	0.4954495611
173	0.4945960836
174	0.493626514
175	0.4924276423
176	0.4920566812
177	0.4911845755
178	0.4899581086
179	0.4891063391
180	0.4879404536
181	0.4872391503
182	0.4864261315
183	0.4848502673
184	0.48413562
185	0.4832777123
186	0.4824547123
187	0.4815173816
188	0.4805070329
189	0.4795614289
190	0.4783108896
191	0.4770893866
192	0.4763683342
193	0.47539727
194	0.4744006923
195	0.4736186315
196	0.472813032
197	0.4715808005
198	0.4706071742
199	0.4696685091
200	0.4688962694
201	0.4677236052
