Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
XGBoost,0.9206989247311828,0.945983379501385,0.9715504978662873,0.9585964912280702,0.7638344377753878
Random Forest,0.9233870967741935,0.9436813186813187,0.9772403982930299,0.960167714884696,0.7505290913506575
Gradient Boosting,0.9314516129032258,0.9453551912568307,0.984352773826458,0.9644599303135889,0.7451687888144884
Logistic Regression,0.6518817204301075,0.978448275862069,0.6458036984352774,0.778063410454156,0.7342400166533671
SVM,0.7647849462365591,0.952054794520548,0.7908961593172119,0.864024864024864,0.7227908267702876
