Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Hybrid Boosting,0.7295081967213115,0.7119821515838108,0.7295081967213115,0.7187184635415107,0.8117668221948406
Weighted Voting,0.75,0.7331798735918869,0.75,0.7393593772150763,0.806706296321528
Deep Stacking,0.7240437158469946,0.707631456424405,0.7240437158469946,0.7134146781827319,0.801565738569768
Stacking (NN Meta),0.7390710382513661,0.7204864005433607,0.7390710382513661,0.7282837184771462,0.801428866124546
Optimized Stacking,0.7418032786885246,0.731719305610584,0.7418032786885246,0.729660264316509,0.8008103267454768
Stacking (LR Meta),0.7226775956284153,0.7060105855716644,0.7226775956284153,0.7137020476056423,0.7990011980787687
