Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.7431693989071039,0.7282519194520171,0.7431693989071039,0.7316702086993748,0.8043570081160302
Random Forest,0.7390710382513661,0.7222353295347496,0.7390710382513661,0.7286613537498656,0.8031036080010617
XGBoost,0.7103825136612022,0.6979569399257249,0.7103825136612022,0.7025003753077523,0.8003740457187194
SVM,0.6530054644808743,0.7376970963697563,0.6530054644808743,0.6707569958777152,0.7908713693430404
Logistic Regression,0.587431693989071,0.7248510012486968,0.587431693989071,0.6093315144187105,0.7750695043907666
